question,ground_truth_context,ground_truth_answer,page_number,context_content_type,generated_answer,retrieved_contexts,retrieved_source_types,retrieved_pages,judge_score,judge_rationale
What is the official title of the financial report for IFC's 2024 fiscal year?,IFC 2024 ANNUAL REPORT FINANCIALS,"The title of the document is ""IFC 2024 ANNUAL REPORT FINANCIALS"".",1,text,"Based on the provided images, the official title of the financial report for IFC's 2024 fiscal year is the ""IFC 2024 Annual Report"".",[],[],[],8,"The generated answer is close to the reference answer, but it misses the word ""Financials"" at the end of the title. It is still factually correct and resolves the question."
"What was IFC's Net Income for the fiscal year ending June 30, 2024?","""Net income (loss) (Section VIII)"",""$ 1,485 ""","The Net income for the year ended June 30, 2024, was $1,485 million.",4,table,"Based on the retrieved visual context, IFC's Net Income for the fiscal year ending June 30, 2024, was $2.9 billion.",[],[],[],1,"The generated answer is factually incorrect. The correct net income is $1,485 million, but the generated answer states $2.9 billion."
"What was the total value of IFC's assets as of June 30, 2023?","""Total assets"", ""$110,547"" (2023 column)","Total assets as of June 30, 2023, were $110,547 million.",4,table,"Based on the retrieved visual context, the total value of IFC's assets as of June 30, 2023, was $102.4 billion.",[],[],[],8,"The generated answer provides a value for IFC's assets that is close to the reference answer, but not exact. The reference answer states $110,547 million, while the generated answer states $102.4 billion. While the generated answer is not completely accurate, it does directly answer the question."
What is the stated mission of the International Finance Corporation?,IFC's mission as one of the WBG entities-is to end extreme poverty and boost shared prosperity on a livable planet.,IFC's mission is to end extreme poverty and boost shared prosperity on a livable planet.,5,text,"Based on the provided information, the mission of the International Finance Corporation is not mentioned.",[],[],[],1,The generated answer incorrectly states that the mission is not mentioned. The reference answer provides the correct mission statement.
What was the revised subscription deadline for the General Capital Increase (GCI) following the April 2024 extension?,"In April 2024, the subscription deadline for the GCI was extended to April 16, 2025, resulting in the full alignment of the GCI and SCI subscription and payment deadlines.","The subscription deadline for the GCI was extended to April 16, 2025.",5,text,"Based on the provided information, the revised subscription deadline for the General Capital Increase (GCI) following the April 2024 extension is not mentioned.",[],[],[],1,"The generated answer states that the information is not mentioned, when the document clearly states the revised deadline. The answer fails to extract the correct information."
What was the Income Available for Designations for IFC in FY24?,"Visual data from Figure 1 showing ""Income Available for Designations"" for FY24 as 1,558.","According to Figure 1, the Income Available for Designations in FY24 was $1,558 million.",6,image,"Based on the provided information, the Income Available for Designations for IFC in FY24 is not mentioned.",[],[],[],1,"The generated answer states that the information is not mentioned, but the reference answer provides the correct information based on Figure 1. The generated answer is incorrect."
"What were IFC's total disbursements, excluding guarantees, in FY24?","Visual data from Figure 3 showing disbursements for FY20-FY24. Accompanying text states: ""In FY24, IFC ... disbursed $19.1 billion in FY24 ($18.7 billion in FY23) excluding guarantees.""","Figure 3 illustrates disbursements in US$ billions, showing $19.1 billion in FY24.",6,combination,"IFC's total disbursements, excluding guarantees, in FY24 were $10.8 billion. (Retrieved from visual context)",[],[],[],1,"The generated answer is factually incorrect based on the reference answer. The correct value is $19.1 billion, while the generated answer states $10.8 billion."
What was the approximate value of IFC's outstanding borrowings as of June 2022?,Visual data from Figure 6 showing the line graph for borrowings at approximately $50 billion for June 22.,Figure 6 shows borrowings at approximately $50 billion as of June 2022.,7,image,"Based on the retrieved visual context, the approximate value of IFC's outstanding borrowings as of June 2022 was $75 billion.",[],[],[],1,"The generated answer states $75 billion, while the reference answer states $50 billion. The generated answer is factually incorrect based on the reference."
With which accounting principles do IFC's consolidated financial statements conform?,The accounting and reporting policies of IFC conform with accounting principles generally accepted in the United States of America (U.S. GAAP).,IFC's accounting and reporting policies conform with accounting principles generally accepted in the United States of America (U.S. GAAP).,8,text,IFC's consolidated financial statements conform with International Financial Reporting Standards (IFRS) as issued by the International Accounting Standards Board (IASB).,[],[],[],1,"The generated answer is factually incorrect. The reference answer states that IFC conforms with U.S. GAAP, while the generated answer claims it conforms with IFRS. This is a direct contradiction."
"What was the value attributed to ""PCRF Income"" in the reconciliation to Income Available for Designations for the year ended June 30, 2024?","""PCRF Income"", ""(30)"" for 2024, from the reconciliation table.","For the year ended June 30, 2024, the PCRF Income was $(30) million.",8,table,"Based on the provided image, the value attributed to ""PCRF Income"" in the reconciliation to Income Available for Designations for the year ended June 30, 2024, was $13 million (retrieved visual context).",[],[],[],1,"The generated answer is factually incorrect. The correct value is $(30) million, but the generated answer states $13 million."
